"age_group","gender","occupation","education","awareness","source","gardening_type","growing","feel_nutritional_gardening","reason_notinvolving","support_required","nutrition","environmental_climate","impact_health"
"18-45"," Female","student","College","Yes"," A"," Rooftop Gardening"," No"," Strongly yes"," A"," E"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Male","teaching","University","No"," A ,  D"," Rooftop Gardening"," No"," Strongly yes"," C"," B"," Yes"," Yes"," Yes, significantly"
" 18-45"," Male","teaching","College","No"," A"," Rooftop Gardening"," No"," Strongly yes"," C"," E"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","College","Maybe"," C"," Kitchen Gardening"," Yes"," Strongly yes"," B"," C"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","business","College","No"," A ,  B"," Rooftop Gardening"," Yes"," Somewhat yes"," B"," E"," No"," Yes"," Yes, somewhat"
" 18-45"," Female","student","School","Yes"," B "," Rooftop Gardening"," Yes"," Strongly yes"," B"," C"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","housewife","College","Yes"," A"," No"," No"," Somewhat yes"," A"," C"," Yes"," No"," Yes, significantly"
" 18-45"," Female","student","College","Yes"," A ,  B"," No"," No"," Somewhat yes"," A"," C"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Female","student","College","Yes"," A"," No"," No"," Not at all"," C"," D"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","College","Maybe"," B "," Rooftop Gardening"," No"," Strongly yes"," D,  B"," A,  C"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","business","University","Maybe"," B "," No"," No"," Somewhat yes"," A"," A"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","University","No"," A ,  B"," No"," No"," Somewhat yes"," A"," B"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","business","School","Yes"," B "," Rooftop Gardening"," Yes"," Strongly yes"," B"," D"," Yes","Maybe"," No noticeable impact"
" 18-45"," Male","student","College","Yes"," E"," Rooftop Gardening"," Yes"," Somewhat yes"," B"," B"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","student","School","Yes"," B "," No"," No"," Not at all"," D,  B"," A,  C"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","housewife","College","Maybe"," B "," Rooftop Gardening"," Yes"," Somewhat yes"," B"," A"," Yes"," Yes"," Yes, significantly"
" Under 18"," Female","teaching","College","No"," A"," Kitchen Gardening"," Yes"," Strongly yes"," E"," C"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","College","No"," A"," Rooftop Gardening"," Yes"," Somewhat yes"," A"," C"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Female","student","College","Yes"," A"," Rooftop Gardening"," Yes"," Strongly yes"," A"," B"," Yes"," Yes"," Yes, significantly"
